id,Name,Property_type,Country,code,latitude,longitude,neighbourhood,Accomadates,Price,guests_included,Extra_people,min_nights,max_nights,Cancellation_policy,amenities,availability_365,bedrooms,beds,room_type,last_review,Reviews_count,review_score,host_listings,host_name,host_id,verified_host
20,Cozy house at Beyoğlu,Apartment,Turkey,TUR,41.03777,28.95825,Beyoglu,2,58,1,60,2,1125,flexible,"['Wifi', 'Kitchen', 'Smoking allowed', 'Breakfast', 'Pets live on this property', 'Cat(s)', 'Free street parking', 'Heating', 'Washer', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Cooking basics', 'Patio or balcony', 'Luggage dropoff allowed', 'Host greets you']",37,1,1,Private room,21-12-2018 05:00,27,99,8,Ali,21331922,TRUE
21,Easy 1 Bedroom in Chelsea,Apartment,United States of America,USA,40.74577,-74.00074,Manhattan,2,145,1,0,2,1125,flexible,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials']",0,1,1,Entire home/apt,03-01-2016 05:00,1,100,1,Scott,34607505,TRUE
22,Sydney Hyde Park City Apartment (checkin from 6am),Apartment,Australia,AUS,-33.87603,151.21346,Darlinghurst,2,185,1,0,2,30,moderate,"['TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Gym', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Building staff', 'Private living room', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Cleaning before checkout', 'Step-free access', 'Flat path to front door', 'Well-lit path to entrance', 'Step-free access']",265,1,1,Entire home/apt,06-03-2019 05:00,109,100,1,Desireé,16187044,TRUE
25,GOLF ROYAL RESİDENCE TAXİM(1+1):3,Serviced apartment,Turkey,TUR,41.04841,28.98713,Şişli,4,838,1,0,1,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff', 'Crib', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed']",365,2,4,Entire home/apt,07-08-2017 04:00,3,67,16,Ahmet,51471538,FALSE
28,A Casa Alegre é um apartamento T1.,Apartment,Portugal,PRT,41.3596,-8.75383,,2,40,2,0,7,180,moderate,"['TV', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'Bathtub', 'Beachfront']",46,1,1,Entire home/apt,27-08-2017 04:00,12,96,1,Manuela,51920973,TRUE
30,2 bedroom Upper east side,Apartment,United States of America,USA,40.7664,-73.95854,Upper East Side,5,275,1,0,2,7,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Pets allowed', 'Pets live on this property', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Essentials', 'Shampoo', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",0,2,2,Entire home/apt,19-08-2017 04:00,9,90,2,Chelsea,52004369,TRUE
31,Double and triple rooms Blue mosque,Bed and breakfast,Turkey,TUR,41.0062,28.98009,Fatih,3,121,1,0,1,1125,moderate,"['Internet', 'Wifi', 'Air conditioning', 'Free parking on premises', 'Smoking allowed', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Dryer', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff']",365,1,2,Private room,07-05-2018 04:00,29,92,2,Mehmet Emin,52004703,TRUE
32,Room Close to LGA and 35 mins to Times Square,Apartment,United States of America,USA,40.74953,-73.88025,Queens,2,46,1,10,2,1125,strict_14_with_grace_period,"['Internet', 'Wifi', 'Air conditioning', 'Pets live on this property', 'Dog(s)', 'Other pet(s)', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'First aid kit', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Host greets you']",365,1,1,Private room,28-11-2018 05:00,123,99,1,Cheer,52031360,TRUE
33,A bedroom far away from home,Apartment,United States of America,USA,40.71485,-73.82257,Queens,2,45,1,10,1,10,strict_14_with_grace_period,"['Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Private entrance', 'Hot water', 'Host greets you']",34,1,1,Private room,03-03-2019 05:00,239,95,1,Lane,1017772,TRUE
34,"Big, Bright & Convenient Sheung Wan",Apartment,Hong Kong,CHN,22.28422,114.15007,Central & Western District,2,966,1,0,2,1125,moderate,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Washer', 'Dryer', 'Essentials', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",0,0,1,Entire home/apt,06-01-2016 05:00,1,100,1,Regg,11435086,TRUE
35,Large railroad style 3 bedroom apt in Manhattan!,Apartment,United States of America,USA,40.79805,-73.93943,Manhattan,9,180,4,19,3,6,strict_14_with_grace_period,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Free street parking', 'Buzzer/wireless intercom', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', '24-hour check-in', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Single level home', 'Other']",0,3,4,Entire home/apt,01-01-2019 05:00,22,95,1,Vick,35215309,TRUE
36,Resort-like living in Williamsburg,Apartment,United States of America,USA,40.71552,-73.93869,Williamsburg,4,220,1,0,5,1125,strict_14_with_grace_period,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Pool', 'Kitchen', 'Doorman', 'Gym', 'Elevator', 'Hot tub', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', '24-hour check-in', 'Hangers', 'Iron']",0,2,2,Entire home/apt,01-01-2016 05:00,1,100,1,Mohammed,14461742,TRUE
37,Private Room (2)  in Guest House at Coogee Beach,House,Australia,AUS,-33.92398,151.25541,Coogee,2,64,1,0,3,365,strict_14_with_grace_period,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Smoking allowed', 'Doorman', 'Free street parking', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Safety card', 'Fire extinguisher', 'Essentials', 'Lock on bedroom door', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Keypad', 'Hot water']",20,1,2,Private room,01-12-2017 05:00,8,100,6,David,5595776,TRUE
40,"Cozy Nest, heart of the Plateau",Apartment,Canada,CA,45.52028,-73.58774,Le Plateau-Mont-Royal,1,34,1,10,2,120,strict_14_with_grace_period,"['TV', 'Wifi', 'Kitchen', 'Paid parking off premises', 'Pets live on this property', 'Cat(s)', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Garden or backyard', 'Luggage dropoff allowed', 'Long term stays allowed']",0,1,1,Private room,08-01-2019 05:00,62,98,1,Lilou,39300,TRUE
42,Ipanema: moderno apê 2BR + garagem,Apartment,Brazil,BRA,-22.98005168,-43.19984555,,4,298,2,50,4,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Dryer', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you']",174,2,2,Entire home/apt,28-01-2019 05:00,24,92,13,Barbara,2537111,TRUE
43,"Friendly Apartment, 10m from Manly",Apartment,Australia,AUS,-33.79629,151.26969,Fairlight,2,36,2,20,1,1125,flexible,"['Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'First aid kit', 'Essentials']",0,1,1,Private room,16-02-2016 05:00,4,95,1,Isaac,52453573,TRUE
44,Great studio opp. Narrabeen Lake,Apartment,Australia,AUS,-33.71472,151.29792,,2,117,1,20,1,1125,moderate,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Pool', 'Kitchen', 'Free parking on premises', 'Pets live on this property', 'Dog(s)', 'Heating', 'Washer', 'First aid kit', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection']",26,0,1,Entire home/apt,06-01-2019 05:00,61,97,1,Tracy,634664,FALSE
45,Cozy Queen Guest Room&My,Apartment,Hong Kong,CHN,22.31655,114.17034,Yau Tsim Mong,2,330,1,0,1,500,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Doorman', 'Elevator', 'Family/kid friendly', 'Smoke detector', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Hair dryer']",135,1,1,Private room,06-11-2018 05:00,9,73,29,Danny,52473150,TRUE
47,"Kailua-Kona, Kona Coast II 2b condo",Apartment,United States of America,USA,19.5702,-155.96445,Kailua/Kona,6,135,1,0,7,7,strict_14_with_grace_period,"['Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Gym', 'Family/kid friendly', 'Washer', 'Dryer']",196,2,3,Entire home/apt,15-06-2018 04:00,1,100,1,Daniel,3393610,FALSE
48,"LAHAINA, MAUI! RESORT/CONDO BEACHFRONT!! SLEEPS 4!",Condominium,United States of America,USA,20.96996,-156.68012,Maui,4,499,1,0,1,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Pool', 'Kitchen', 'Free parking on premises', 'Doorman', 'Gym', 'Elevator', 'Hot tub', 'Indoor fireplace', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",365,1,2,Entire home/apt,20-02-2016 05:00,1,100,472,Holly,12057949,TRUE
49,Quarto inteiro na Tijuca,Apartment,Brazil,BRA,-22.93620325,-43.24742191,Tijuca,1,149,1,0,1,15,flexible,"['Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Family/kid friendly', 'Washer']",178,1,1,Private room,26-05-2016 04:00,1,100,2,Gilberto,12673423,FALSE
50,Twin Bed room+MTR Mongkok shopping&My,Apartment,Hong Kong,CHN,22.31723,114.17073,Mong Kok,3,400,1,0,1,500,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Doorman', 'Elevator', 'Family/kid friendly', 'Smoke detector', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Hair dryer']",145,1,2,Private room,12-07-2018 04:00,22,83,29,Danny,52473150,TRUE
51,Cozy double bed room 東涌鄉村雅緻雙人房,Guesthouse,Hong Kong,CHN,22.27671,113.92823,,2,487,1,0,1,1125,moderate,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Pets live on this property', 'Cat(s)', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Children’s books and toys', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Garden or backyard', 'Luggage dropoff allowed', 'Long term stays allowed', 'Cleaning before checkout', 'Host greets you']",339,1,1,Private room,18-02-2019 05:00,162,96,5,Ricky,52491634,FALSE
52,Your spot in Copacabana,Apartment,Brazil,BRA,-22.96270793,-43.17714542,Copacabana,6,798,4,20,2,15,strict_14_with_grace_period,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'First aid kit', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Window guards', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Long term stays allowed', 'Host greets you']",247,2,5,Entire home/apt,18-03-2018 04:00,8,100,1,Ana Lúcia,52772199,FALSE
53,Makaha Valley Paradise with OceanView,Condominium,United States of America,USA,21.4818,-158.20291,Leeward Side,4,95,1,0,3,180,moderate,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Elevator', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Long term stays allowed', 'Other', 'Paid parking on premises']",246,1,2,Entire home/apt,28-02-2019 05:00,32,98,2,Ray And Lise,42868615,FALSE
54,IPANEMA LUXURY PENTHOUSE with MAID,Apartment,Brazil,BRA,-22.98034625,-43.20056249,Ipanema,3,858,3,112,1,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Smoking allowed', 'Doorman', 'Breakfast', 'Elevator', 'Free street parking', 'Washer', 'First aid kit', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you']",345,1,1,Entire home/apt,12-12-2018 05:00,29,99,3,Cesar,4428126,TRUE
55,FloresRooms 3T,Apartment,Portugal,PRT,41.14404,-8.61205,,2,31,1,0,2,1124,moderate,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Elevator', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Lockbox', 'Hot water', 'Bed linens', 'Extra pillows and blankets']",278,0,1,Entire home/apt,01-02-2019 05:00,225,96,6,Andreia,51724179,TRUE
56,~Ao Lele~ Flying Cloud,Treehouse,United States of America,USA,19.42151,-155.21763,Island of Hawaiʻi,2,185,2,0,2,30,strict_14_with_grace_period,"['Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Breakfast', 'Indoor fireplace', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Garden or backyard', 'Host greets you']",165,1,1,Entire home/apt,19-02-2019 05:00,103,99,1,Mike,52785887,TRUE
58,Small Room w Bathroom Flamengo Rio de Janeiro,Apartment,Brazil,BRA,-22.93848269,-43.17645081,Flamengo,1,71,1,0,4,1125,moderate,"['TV', 'Wifi', 'Kitchen', 'Pets live on this property', 'Cat(s)', 'Elevator', 'Washer', 'Dryer', 'Fire extinguisher', 'Essentials', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",0,1,1,Private room,20-08-2016 04:00,1,80,2,Fernanda,52988408,FALSE
59,UWS Brownstone Near Central Park,Apartment,United States of America,USA,40.78558,-73.9696,Upper West Side,3,212,1,0,21,30,moderate,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Private entrance']",5,1,3,Entire home/apt,01-01-2018 05:00,45,93,4,Chas,178043,TRUE
61,Cozy Art Top Floor Apt in PRIME Williamsburg!,Apartment,United States of America,USA,40.71577,-73.96053,Williamsburg,2,175,2,300,2,300,strict_14_with_grace_period,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Free street parking', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Luggage dropoff allowed', 'Long term stays allowed', 'Other']",363,1,2,Entire home/apt,18-02-2019 05:00,117,96,1,Ade,465278,FALSE
62,Private OceanFront - Bathtub Beach. Spacious House,House,United States of America,USA,21.63549,-157.91952,Ko'olauloa,14,795,1,0,3,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Wheelchair accessible', 'Kitchen', 'Free parking on premises', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', '24-hour check-in', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Beachfront']",229,4,10,Entire home/apt,19-02-2019 05:00,32,94,1,Noah,53086419,FALSE
64,A large sunny bedroom,Apartment,United States of America,USA,40.85598,-73.90052,Tremont,1,35,1,0,3,1125,moderate,"['Wifi', 'Air conditioning', 'Kitchen', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",0,1,1,Private room,20-08-2016 04:00,2,90,1,Ehssan,53169195,TRUE
